age,annual_income,is_salaried,investment_80c,investment_80d,home_loan_interest,education_loan_interest,donations_80g,other_deductions,standard_deduction,taxable_old,tax_old,taxable_new,tax_new,best_regime
20,371992,1,6338,4917,17137,1142,914,1815,50000,289729,0.0,354855,0.0,old
21,119978,1,4414,1392,8428,288,0,490,50000,54966,0.0,111550,0.0,old
47,229328,0,4339,1638,11320,402,0,874,0,210755,0.0,218008,0.0,old
23,960774,1,60360,10504,59527,1624,3185,2559,50000,773015,69787.12,901247,41729.69,new
63,699437,1,68536,6680,47841,2054,2743,2475,50000,519108,16974.46,651596,0.0,new
56,260158,1,9108,1542,7745,790,512,1049,50000,189412,0.0,252413,0.0,old
36,3002456,1,150000,32149,121355,4085,8814,28533,50000,2607520,618546.24,2881101,576503.51,new
30,649476,1,23768,5669,17732,1679,529,1253,50000,548846,23159.97,631744,0.0,new
51,2833328,0,150000,15810,231135,4960,0,22791,0,2439767,566207.3,2633328,499198.34,new
39,359206,1,12551,2425,30158,423,1198,0,50000,262451,0.0,329048,0.0,old
61,349348,1,9655,1896,10751,425,215,445,50000,275961,0.0,338597,0.0,old
48,642612,1,33845,7802,23248,1874,2211,5413,50000,518219,16789.55,619364,0.0,new
53,178002,0,11395,2256,6222,217,307,0,0,157605,0.0,171780,0.0,old
35,907514,1,86222,10645,43644,1226,1302,0,50000,714475,57610.8,863870,37842.48,new
21,151363,1,12123,1700,15313,315,438,842,50000,70632,0.0,136050,0.0,old
55,179802,1,0,1195,13907,330,196,872,50000,113302,0.0,165895,0.0,old
19,881112,1,21155,12111,45806,1072,3227,6458,50000,741283,63186.86,835306,34871.82,new
53,213847,0,5304,2850,12970,261,0,1990,0,190472,0.0,200877,0.0,old
40,66208,1,2748,1291,174,156,169,447,50000,11223,0.0,66034,0.0,old
56,560685,1,46125,5090,9308,1859,1545,637,50000,446121,0.0,551377,0.0,old
19,514317,0,34253,4288,14424,1327,531,2306,0,457188,0.0,499893,0.0,old
62,196857,1,10463,823,8666,646,235,1883,50000,124141,0.0,188191,0.0,old
64,882680,1,34172,12002,59573,2716,2493,2450,50000,719274,58608.99,823107,33603.13,new
22,574314,1,37927,0,18061,1152,332,3588,50000,463254,0.0,556253,0.0,old
57,1603405,0,150000,18605,122030,1431,1113,20376,0,1289850,207433.2,1481375,141726.0,new
52,604948,1,10583,8762,17018,600,1925,4778,50000,511282,15346.66,587930,0.0,new
40,525828,1,58609,745,50143,1269,642,1702,50000,362718,0.0,475685,0.0,old
40,424069,1,39950,4620,11524,1054,214,1523,50000,315184,0.0,412545,0.0,old
54,218936,1,11191,3107,0,337,507,943,50000,152851,0.0,218936,0.0,old
27,941037,0,58294,10850,53757,2270,1508,9045,0,805313,76505.1,887280,40277.12,new
67,995488,1,62476,2095,16067,4381,3469,7537,50000,849463,85688.3,979421,49859.78,new
46,268106,1,15546,2737,0,629,1071,1649,50000,196474,0.0,268106,0.0,old
35,500662,1,41413,7776,24995,1071,724,3630,50000,371053,0.0,475667,0.0,old
28,316419,1,18796,2524,26952,849,672,532,50000,216094,0.0,289467,0.0,old
25,858601,1,49757,11136,41978,2348,535,2511,50000,700336,54669.89,816623,32928.79,new
52,3153376,1,33847,48501,90079,7060,11762,1654,50000,2910473,713067.58,3063297,633348.66,new
30,416099,1,12679,3601,24785,1134,719,0,50000,323181,0.0,391314,0.0,old
31,3693526,1,150000,47217,556062,0,0,22768,50000,3223541,810744.79,3493526,767580.11,new
20,227521,0,8532,2799,19073,650,911,957,0,194599,0.0,208448,0.0,old
22,283796,1,29775,5072,7568,698,1674,711,50000,188298,0.0,276228,0.0,old
57,730608,0,33154,7876,19128,2952,4648,3624,0,659226,46119.01,711480,21993.92,new
27,287791,1,9166,5249,8840,672,1087,771,50000,212006,0.0,278951,0.0,old
53,2706865,1,150000,33133,0,7044,3269,24384,50000,2439035,565978.92,2706865,522141.88,new
28,906569,0,63500,2785,61399,1988,2312,2457,0,772128,69602.62,845170,35897.68,new
39,4639021,1,150000,46621,139518,12027,10519,11891,50000,4218445,1121154.84,4499503,1081444.94,new
26,887721,1,92470,4081,49096,1744,2555,1559,50000,686216,51732.93,838625,35217.0,new
23,424109,1,24066,4739,0,525,0,819,50000,343960,0.0,424109,0.0,old
49,514124,0,14268,11437,24113,572,2655,2734,0,458345,0.0,490011,0.0,old
51,1029170,1,67971,4329,60769,3825,3527,9470,50000,829279,81490.03,968401,48713.7,new
63,333299,1,13607,5165,31160,729,322,0,50000,232316,0.0,302139,0.0,old
40,255679,0,10396,2320,5607,463,749,2197,0,233947,0.0,250072,0.0,old
56,233172,0,13603,1431,5550,420,1052,584,0,210532,0.0,227622,0.0,old
68,1036601,1,73084,5261,51751,2912,21,7283,50000,846289,85028.11,984850,50424.4,new
64,523093,0,30194,5936,42837,391,1302,3481,0,438952,0.0,480256,0.0,old
42,2346699,0,100507,45269,104843,5348,4619,16834,0,2069279,450615.05,2241856,377059.07,new
23,638478,1,54808,6540,22029,869,1313,3616,50000,499303,0.0,616449,0.0,old
69,162656,0,1277,2008,13900,102,434,760,0,144175,0.0,148756,0.0,old
51,3299564,1,126137,17394,92082,7472,2977,14584,50000,2988918,737542.42,3207482,678334.38,new
22,1916642,1,111151,10369,130094,4383,4764,8141,50000,1597740,303494.88,1786548,235002.98,new
63,155370,1,4510,2045,6985,443,416,696,50000,90275,0.0,148385,0.0,old
58,4931533,1,150000,50000,231717,9312,29,28493,50000,4443699,1191434.09,4731533,1153838.3,new
26,670985,1,34644,583,53293,1397,348,1282,50000,529438,19123.1,617692,0.0,new
39,88367,1,5449,790,7506,170,209,40,50000,24203,0.0,80861,0.0,old
57,233026,1,15457,850,18581,1087,44,1678,50000,145329,0.0,214445,0.0,old
64,241175,1,23267,0,16304,633,139,98,50000,150734,0.0,224871,0.0,old
68,646119,1,35536,9356,22807,1882,0,3919,50000,522619,17704.75,623312,0.0,new
54,3697284,1,76491,36818,251433,7882,6209,6681,50000,3313203,838719.34,3497284,768752.61,new
25,107127,1,5467,1080,4591,313,188,648,50000,44840,0.0,102536,0.0,old
50,2829130,1,113201,15765,162902,8562,9640,12625,50000,2456435,571407.72,2666228,509463.14,new
29,3374091,1,120078,12465,0,6375,4417,6541,50000,3174215,795355.08,3374091,730316.39,new
65,987903,1,96738,0,42717,2974,2180,4502,50000,788792,73068.74,945186,46299.34,new
40,557043,1,42735,7974,19446,1140,987,906,50000,433855,0.0,537597,0.0,old
67,490880,1,23804,3547,29856,1373,625,6610,50000,375065,0.0,461024,0.0,old
20,893979,1,66351,634,62853,2105,1874,5656,50000,704506,55537.25,831126,34437.1,new
46,2035864,1,150000,32613,135912,8061,4695,8893,50000,1645690,318455.28,1899952,270385.02,new
21,927741,1,62128,11334,0,1107,1684,7151,50000,794337,74222.1,927741,44485.06,new
29,639115,1,60987,7225,30902,1363,995,256,50000,487387,0.0,608213,0.0,old
65,996160,1,43035,13659,64162,3551,1166,5955,50000,814632,78443.46,931998,44927.79,new
18,548681,1,15336,6225,29949,1639,2956,2262,50000,440314,0.0,518732,0.0,old
25,201881,1,17597,2018,6422,428,234,1704,50000,123478,0.0,195459,0.0,old
64,3856353,1,150000,29982,89474,8356,10785,8904,50000,3508852,899761.82,3766879,852866.25,new
26,623020,1,4354,8032,6478,685,2685,4282,50000,546504,22672.83,616542,0.0,new
67,192558,1,22470,1790,8776,218,597,1104,50000,107603,0.0,183782,0.0,old
24,3091299,1,150000,32679,182147,3770,15413,13333,50000,2643957,629914.58,2909152,585255.42,new
65,993335,1,44767,4722,1269,2359,0,1192,50000,889026,93917.41,992066,51174.86,new
63,247947,1,14571,2122,14939,501,103,2732,50000,162979,0.0,233008,0.0,old
29,871957,1,111214,9078,21223,2240,2706,7907,50000,667589,47858.51,850734,36476.34,new
32,877731,1,78403,5280,42752,1966,2564,3891,50000,692875,53118.0,834979,34837.82,new
37,54400,1,2043,662,95,80,30,3,50000,1487,0.0,54305,0.0,old
44,156171,1,12499,2495,7917,271,0,1343,50000,81646,0.0,148254,0.0,old
43,777391,1,35097,7547,10047,1727,1824,3341,50000,667808,47904.06,767344,27803.78,new
42,501614,0,11232,570,20237,986,598,2562,0,465429,0.0,481377,0.0,old
22,597912,0,44423,8053,12453,1158,2159,4382,0,525284,18259.07,585459,0.0,new
62,222250,0,31564,2604,13377,462,640,1175,0,172428,0.0,208873,0.0,old
32,1149488,1,46010,26096,50782,1910,2090,5720,50000,966880,110111.04,1098706,67398.14,new
57,673260,0,69540,6208,39583,462,706,2592,0,554169,24267.15,633677,0.0,new
59,150273,0,7422,2169,3274,58,239,357,0,136754,0.0,146999,0.0,old
27,313625,1,5823,1108,21095,442,0,1855,50000,233302,0.0,292530,0.0,old
28,118277,0,6034,1109,9155,37,314,378,0,101250,0.0,109122,0.0,old
43,258581,1,15013,4609,24901,587,567,697,50000,162207,0.0,233680,0.0,old
30,268542,0,15106,1865,18205,553,506,1412,0,230895,0.0,250337,0.0,old
25,216180,1,26067,844,16400,430,920,1013,50000,120506,0.0,199780,0.0,old
59,257864,1,9608,5531,4418,785,1122,1045,50000,185355,0.0,253446,0.0,old
34,3451542,1,150000,11475,305133,15463,18228,30406,50000,2975970,733502.64,3251542,692081.1,new
32,73936,1,8157,178,5600,127,191,612,50000,9071,0.0,68336,0.0,old
60,628290,1,40883,7438,19658,1444,1400,2240,50000,505227,14087.22,608632,0.0,new
42,163148,0,10841,3132,14354,289,557,1272,0,132703,0.0,148794,0.0,old
60,162832,1,344,1540,0,333,5,108,50000,110502,0.0,162832,0.0,old
32,597977,0,52124,2752,47575,1642,2279,1644,0,489961,0.0,550402,0.0,old
56,818370,0,42448,10436,44278,1106,3623,6019,0,710460,56775.68,774092,28505.57,new
61,77702,1,7113,1088,6245,308,9,377,50000,12562,0.0,71457,0.0,old
41,971616,1,81886,10316,16794,1794,3094,6277,50000,801455,75702.64,954822,47301.49,new
47,74820,1,2159,408,2426,22,203,504,50000,19098,0.0,72394,0.0,old
68,989986,1,78023,8111,60796,2666,2381,5047,50000,782962,71856.1,929190,44635.76,new
62,161186,0,8165,1683,12191,278,210,0,0,138659,0.0,148995,0.0,old
46,951365,0,50229,11414,47461,1140,2487,3787,0,834847,82648.18,903904,42006.02,new
59,70223,1,6410,850,2905,105,189,497,50000,9267,0.0,67318,0.0,old
34,268939,1,13199,2838,5036,705,368,2100,50000,194693,0.0,263903,0.0,old
33,496691,0,41597,4924,35996,1279,2032,2183,0,408680,0.0,460695,0.0,old
38,189629,1,13590,4055,18035,439,196,379,50000,102935,0.0,171594,0.0,old
68,282450,1,17545,2751,0,453,824,2440,50000,208437,0.0,282450,0.0,old
63,326333,1,29344,2939,30399,798,1003,2628,50000,209222,0.0,295934,0.0,old
50,261536,1,9350,0,12735,647,327,1342,50000,187135,0.0,248801,0.0,old
42,145359,1,7605,2033,8173,226,876,0,50000,76446,0.0,137186,0.0,old
35,71543,1,3257,534,4230,172,142,543,50000,12665,0.0,67313,0.0,old
26,3686919,0,104444,27704,202462,6445,12530,30921,0,3304875,836121.0,3486919,765518.73,new
60,227818,1,20358,4435,20051,798,829,609,50000,130738,0.0,207767,0.0,old
35,289585,0,28201,1788,7254,662,1408,1063,0,249209,0.0,282331,0.0,old
36,699702,1,69505,6413,26766,484,901,767,50000,544866,22332.13,672936,0.0,new
59,934096,0,67108,824,6731,384,2336,2496,0,854217,86677.14,927365,44445.96,new
39,870151,1,59157,3080,60910,2171,3556,3203,50000,688074,52119.39,809241,32161.06,new
25,156798,1,12027,1675,10477,446,42,389,50000,81742,0.0,146321,0.0,old
53,404437,1,31412,3973,44423,1453,263,2486,50000,270427,0.0,360014,0.0,old
49,210390,0,17058,1981,7960,134,374,1186,0,181697,0.0,202430,0.0,old
19,419866,1,51885,3382,26575,858,237,1037,50000,285892,0.0,393291,0.0,old
53,952870,0,55496,13504,19561,2704,2708,6885,0,852012,86218.5,933309,45064.14,new
29,184158,0,6372,3168,6456,123,215,1283,0,166541,0.0,177702,0.0,old
64,238581,1,3940,3376,14432,891,0,10,50000,165932,0.0,224149,0.0,old
36,77414,0,4520,95,1594,89,267,17,0,70832,0.0,75820,0.0,old
18,542264,0,29367,1450,19991,1564,1585,0,0,488307,0.0,522273,0.0,old
26,287001,1,13483,3964,11732,330,501,1855,50000,205136,0.0,275269,0.0,old
60,775401,0,60246,11805,43434,1498,2987,5552,0,649879,44174.83,731967,24124.57,new
18,161748,0,12420,169,12310,263,539,666,0,135381,0.0,149438,0.0,old
26,4500644,0,43809,50000,213383,15903,7091,44213,0,4139628,1096563.94,4300644,1019400.93,new
34,845969,1,68907,6035,84405,2178,1995,6676,50000,625773,39160.78,761564,27202.66,new
36,223127,0,12357,3206,17743,433,484,2213,0,186691,0.0,205384,0.0,old
20,579791,0,40012,8315,39556,1326,18,1799,0,488765,0.0,540235,0.0,old
29,2566613,1,149090,10403,169684,4760,4873,31943,50000,2145860,474508.32,2396929,425441.85,new
24,1403677,1,64708,9476,40594,1325,1958,3273,50000,1232343,189491.02,1363083,117121.26,new
28,57047,1,6059,747,737,93,103,26,50000,0,0.0,56310,0.0,old
22,113266,1,3680,875,4760,374,124,805,50000,52648,0.0,108506,0.0,old
64,119890,1,3200,1615,7713,250,241,869,50000,56002,0.0,112177,0.0,old
26,75587,1,2665,642,3154,182,14,394,50000,18536,0.0,72433,0.0,old
34,272076,1,10779,2143,6916,829,674,985,50000,199750,0.0,265160,0.0,old
59,110155,0,5974,843,8456,278,277,500,0,93827,0.0,101699,0.0,old
68,3646897,1,150000,12232,262129,14957,4865,14077,50000,3200766,803638.99,3446897,753031.86,new
63,4962301,0,150000,50000,297338,3351,509,25533,0,4532908,1219267.3,4762301,1163437.91,new
25,841628,1,89441,8442,47386,2979,2088,1411,50000,639881,42095.25,794242,30601.17,new
55,465710,1,43069,5770,15421,283,866,1928,50000,348373,0.0,450289,0.0,old
34,537301,0,287,5372,41737,806,1903,1202,0,485994,0.0,495564,0.0,old
30,243551,1,26726,3743,12107,377,774,238,50000,149586,0.0,231444,0.0,old
30,67459,1,713,608,3519,237,151,394,50000,11837,0.0,63940,0.0,old
40,627865,0,38246,8444,35516,1516,1857,5107,0,537179,20733.23,592349,0.0,new
48,535390,1,2260,2289,15685,551,2377,0,50000,462228,0.0,519705,0.0,old
53,4117107,1,150000,50000,231250,16957,16064,20387,50000,3613699,932474.09,3917107,899737.38,new
22,478976,0,28504,0,38316,1808,786,2563,0,406999,0.0,440660,0.0,old
56,317876,0,29057,0,2226,537,834,507,0,284715,0.0,315650,0.0,old
40,323113,1,28423,4507,24157,555,850,1284,50000,213337,0.0,298956,0.0,old
36,605326,0,53869,5775,30032,1419,1378,6063,0,506790,14412.32,575294,0.0,new
56,545021,0,13585,799,43198,0,217,2984,0,484238,0.0,501823,0.0,old
44,396262,1,5758,2154,24239,1078,135,547,50000,312351,0.0,372023,0.0,old
64,139141,0,8970,1830,2138,318,286,773,0,124826,0.0,137003,0.0,old
37,263482,1,21490,938,129,38,661,2218,50000,188008,0.0,263353,0.0,old
50,880920,0,19550,16716,0,884,3253,5035,0,835482,82780.26,880920,39615.68,new
23,531464,1,51595,5046,37895,1056,1350,1540,50000,382982,0.0,493569,0.0,old
32,986608,1,94600,3389,19762,1164,2582,7045,50000,808066,77077.73,966846,48551.98,new
39,150453,1,8765,1067,12219,338,599,0,50000,77465,0.0,138234,0.0,old
68,113574,1,4639,1762,3609,65,232,163,50000,53104,0.0,109965,0.0,old
37,213170,0,15916,1938,18817,239,0,87,0,176173,0.0,194353,0.0,old
59,255593,1,22740,2695,977,820,0,1289,50000,177072,0.0,254616,0.0,old
34,3405088,1,150000,33469,49822,8198,6668,14291,50000,3092640,769903.68,3355266,724442.99,new
49,472714,0,27049,2946,38058,1049,2913,352,0,400347,0.0,434656,0.0,old
57,800559,0,28428,3400,108017,1587,0,2500,0,656627,45578.42,692542,0.0,new
36,4454444,1,150000,47908,200456,10794,21474,15602,50000,3958666,1040103.79,4254444,1004986.53,new
34,287443,1,11585,4981,9416,433,675,456,50000,209897,0.0,278027,0.0,old
69,291761,0,31068,4222,35934,957,1084,829,0,217667,0.0,255827,0.0,old
46,58405,1,2600,438,3308,121,172,268,50000,1498,0.0,55097,0.0,old
44,1684625,1,88070,17498,79102,2502,2539,12410,50000,1432504,251941.25,1605523,178523.18,new
55,574374,0,20185,5654,37166,1489,1488,3796,0,504596,13955.97,537208,0.0,new
46,266865,0,13991,4979,0,0,1239,745,0,245911,0.0,266865,0.0,old
58,222823,1,9462,1001,10543,70,768,1206,50000,149773,0.0,212280,0.0,old
49,520391,1,12020,4764,20147,1208,221,3392,50000,428639,0.0,500244,0.0,old
37,211137,1,5175,843,5687,709,351,1359,50000,147013,0.0,205450,0.0,old
64,4602252,0,63988,44433,260504,15641,2271,15991,0,4259928,1134097.54,4402252,1051102.62,new
20,80758,1,5190,568,3248,339,54,318,50000,21041,0.0,77510,0.0,old
31,651743,1,43598,7782,0,744,524,256,50000,548839,23158.51,651743,0.0,new
35,86365,1,5246,695,9177,193,66,592,50000,20396,0.0,77188,0.0,old
28,3487956,1,150000,42003,267255,6298,0,20655,50000,3019000,746928.0,3287956,703442.27,new
39,3160737,1,150000,35091,88953,8981,4529,6626,50000,2816557,683765.78,3071784,635996.61,new
51,589448,0,10774,8708,24476,1102,1202,2461,0,540725,21470.8,564972,0.0,new
24,60662,0,2705,946,6661,113,46,287,0,49904,0.0,54001,0.0,old
21,402724,1,25991,7080,27704,857,299,2311,50000,288482,0.0,375020,0.0,old
19,159440,1,11361,1550,8839,349,281,965,50000,86095,0.0,150601,0.0,old
53,221352,0,13823,2544,2195,172,461,1966,0,200191,0.0,219157,0.0,old
