scheme_id,scheme_name,scope,state,age_min,age_max,annual_income_min,annual_income_max,allowed_genders,allowed_castes,allowed_employments,disability_allowed,education_levels,notes
AP7,Jagananna Vidya Deevena,state,Andhra Pradesh,18,,0,250000.0,Any,Any,Any,Any,Any,Full fee reimbursement for eligible college students (low-income families/ SC/ST/BC).
AP8,YSR Aarogyasri,state,Andhra Pradesh,18,,0,,Any,Any,Any,Any,Any,Health insurance (cashless cover ₹5L/yr) for BPL families in Andhra Pradesh.
AP9,YSR Gruha Jyothi,state,Andhra Pradesh,0,,0,,Any,Any,Any,Any,Any,Free electricity (200 units/month) for eligible households in Andhra Pradesh.
AP10,YSR Pelli Kanuka,state,Andhra Pradesh,18,45.0,0,200000.0,Female,Any,Any,Any,Any,Financial assistance for brides in Andhra Pradesh (grant varies by community).
AP11,YSR Indiramma Dhana Lakshmi,state,Andhra Pradesh,18,35.0,0,200000.0,Female,Any,Any,Any,Any,Motherhood grant to pregnant women for institutional delivery in AP.
AP12,YSR Vahana Mitra,state,Andhra Pradesh,18,65.0,0,200000.0,Any,Any,Any,Any,Any,Subsidy for drivers (auto/trekkers) to meet fuel costs (income ≤ ₹2L).
AP13,YSR Mink,state,Andhra Pradesh,18,,0,,Any,Any,Any,Any,Any,Beekeeping support scheme for rural individuals in AP.
AP14,YSR Gruha Kalpa,state,Andhra Pradesh,18,,0,,Any,Any,Any,Any,Any,Building materials subsidy (cement paint) for low-income homeowners in AP.
AP15,YSR Antyodaya,state,Andhra Pradesh,18,,0,,Any,Any,Any,Any,Any,Supplementary ration (subsidized foodgrains) for poorest families in AP.
AP16,NTR Bharosa,state,Andhra Pradesh,60,,0,,Any,SC/ST,Any,Any,Any,Pension scheme for SC/ST elderly and widows in AP (social security pension).
AP17,Jagananna Canteen,state,Andhra Pradesh,0,,0,,Any,Any,Any,Any,Any,Free/low-cost meals to urban poor (Rs.5 meals) through Andhra Pradesh government canteens.
AP18,YSR Navasakam,state,Andhra Pradesh,18,,0,,Any,Any,Any,Any,Any,Umbrella scheme for eligible households (combines multiple welfare benefits).
AP19,YSR Free Bicycle,state,Andhra Pradesh,5,18.0,0,,Female,Any,Any,Any,School,Free bicycles to girl students in Andhra Pradesh to promote education.
AP20,YSR Fee Reimbursement,state,Andhra Pradesh,18,25.0,0,200000.0,Any,Any,Any,Any,Any,Full fee reimbursement to SC/ST/BC/Minority college students in AP.
