scheme_id,scheme_name,scope,state,age_min,age_max,annual_income_min,annual_income_max,allowed_genders,allowed_castes,allowed_employments,disability_allowed,education_levels,notes,
C023,AICTE-PROFESSIONAL DEVELOPMENT SCHEME,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,AICTE-Professional Development Scheme enables meritorious faculty to interact at International Level Conferences/ both within and outside India/ Seminars/ and Symposia.,
C024,AICTE-QUALITY IMPROVEMENT (FOREIGN UNIVERSITY) PROGRAMME,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,The All India Council for Technical Education in its 55th Meeting of the Council held on 14th August 2018 approved the Quality Improvement Programme (Foreign University) (QIP-FU). The QIP(FU) is an extension of the QIP program launched by the Government of India in the year 1970.,
C025,AICTE-SHORT TERM TRAINING PROGRAMME (STTP) (UT-J&K/LADAKH AND NER),central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,AICTE-Short Term Training Program (STTP) intends to conduct faculty training through financial assistance from AICTE to enable faculty members in the field of technical education.,
C026,AICTE-Swanath Scholarship Scheme For Students,central,Any,Any,Any,0,800000,Any,Any,Student,Any,Secondary,A scholarship scheme by the Student Development Cell (StDC) of All India Council for Technical Education (AICTE) to provide encouragement and support to orphans/ wards of parents who died due to Covid-19/ wards of Armed Forces/ and Central Paramilitary Forces martyred in action (Shaheed).,
C027,AICTE-Technical Book Writing & Translation Scheme,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,AICTE-Technical Book Writing & Translation scheme has been launched by the All India Council for Technical Education (AICTE) to promote the use of 'Scheduled Regional Language' in Technical Education for creating knowledge base in local language.,
C028,AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports/ aims to support institution in conducting trainings to develop the skill of the participants to involve the masses in traditional sports/games and fun games for physical activity through recreation.,
C029,ASEAN-India Research Training Fellowship,central,Any,Any,45,Any,Any,Any,Any,Any,Any,Postgraduate,The “ASEAN-India Research Training Fellowship (AI-RTF)” is a fellowship scheme initiated by the Department of Science & Technology/ Government of India under ASEAN-India Science & Technology Development Fund to support young talented researchers/scientists of ASEAN member countries.,
C030,Aam Aadmi Bima Yojana,central,Any,18,59,0,800000,Any,Any,Self-employed,Any,Any,The Aam Aadmi Bima Yojana (AABY) is a social security scheme for rural landless households implemented by the Ministry of Labour & Employment/ Government of India. The scheme provides insurance coverage to the head of the household or an earning member of the family in the age group of 18 to 59.,
C031,Abdul Kalam Technology Innovation National Fellowship,central,Any,Any,67,Any,Any,Any,Any,Any,Any,Postgraduate,Indian National Academy of Engineering (INAE) will award "Abdul Kalam Technology Innovation National Fellowship" to outstanding engineers to recognize/ encourage and support translational research by individuals to achieve excellence in engineering/ innovation and technology development.,
C032,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Access to Knowledge for Technology Development and Dissemination (A2K+) is a scheme targeted towards developing mechanisms to disseminate science/ technology and innovation-related information to industries/ research and academic institutions,
C033,Advance Authorisation(AA),central,Any,Any,Any,Any,Any,Any,Any,Self-employed,Any,Any,Advance Authorisation scheme enables duty free import of inputs for export production/ including replenishment of inputs or duty remission Advance Authorisation covers manufacturer exporters or merchant exporters tied to supporting manufacturer(s).,
C034,Agnipath Yojana,central,Any,17.5,21,Any,Any,Any,Any,Un-employed,Any,Secondary,A welfare scheme by the Department of Military Affairs/ MoD under which rigorous military training will be imparted to the youth aged between 17.5 to 23 years and meeting other educational/ physical/ and medical criteria/ who are aspirational to be a part of the armed forces.,
C035,Agri-Clinics And Agri-Business Centres Scheme,central,Any,18,60,Any,Any,Any,Any,Self-employed,Any,Graduate,A welfare scheme by the Ministry of Agriculture and Farmers' Welfare was launched in 2002. AC&ABC aims at agricultural development/ supplementing the efforts of public extension by providing extension and other services to farmers either on a payment basis or free of cost as per the business model.,
C036,Agricultural Extension,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,Extension Division endeavours towards successful implementation of Agricultural Extension activities. Through its various programmes/ schemes and activities/ Extension Division helps farmers to get information regarding scientific research and new knowledge in agricultural practices.,
C037,Agricultural Marketing Infrastructure,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The revitalized and farmers’ income enhancing centric sub-scheme Agricultural Marketing Infrastructure (AMI) of Integrated Scheme for Agricultural Marketing (ISAM) is meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain.,
C038,Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26),central,Any,Any,Any,Any,Any,Any,Any,Self-employed,Any,Any,The Financial Assistance Scheme (FAS) is an export promotion scheme run by APEDA. The scheme aims to facilitate the export of agri-products by providing assistance to exporters.,
C039,Agroforestry component under RKVY,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,Sub-Mission on Agroforestry was launched in 2016-17 to promote plantation on farmlands along with agricultural crops. The scheme aims to increase farm income/ expand tree cover and promote better carbon sequestration for climate change adaptation and mitigation.,
C040,AlCTE - Distinguished Professional Scheme,central,Any,58,70,Any,Any,Any,Any,Retired,Any,Postgraduate,AICTE-Distinguished Professionals Scheme has been launched by the All India Council for Technical Education/ Ministry of Education to improve the quality of Technical Education in India by utilizing the expertise of Professionals/ Emeritus professors & Eminent Personalities to share their knowledge.,
C041,Amended Technology Upgradation Fund,central,Any,Any,Any,Any,Any,Any,Any,Self-employed,Any,Any,The Ministry of Textiles introduced the Amended Technology Upgradation Fund Scheme (ATUFS). This scheme aims to facilitate investment/ employment/ productivity/ quality and import and export substitution in the textile industry.,
C042,Assistance to Training Institutions Scheme,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Under the scheme/ assistance would be provided to the training institutions under the Ministry of MSME for creation/ strengthening and expansion of infrastructure/ including setting-up of new branches and centres.,
C043,Assistance to Voluntary Organizations Working for Welfare of OBCs,central,Any,Any,Any,Any,Any,Any,OBC,Any,Any,Any,The "Assistance to Voluntary Organizations Working for Welfare of OBCs" scheme aims to involve the voluntary sector in improving the educational and socio-economic conditions of the target group i.e. OBCs to upgrade skills to enable them to start income-generating activities on their own.,
C044,Atal Beemit Vyakti Kalyan Yojana,central,Any,Any,Any,Any,Any,Any,Any,Private-employed,Any,Any,The scheme “Atal Beemit Vyakti Kalyan Yojana (ABVKY)” was introduced by the Employees’ State Insurance Corporation (ESIC) on a pilot basis for a period of 2 years w.e.f. 01.07.2018 for providing relief to the Insured Persons (IPs) who have become unemployed.,
C045,Atal Mission For Rejuvenation And Urban Transformation,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Providing basic services (e.g. water supply/ sewerage/ urban transport) to households and building amenities in cities which will improve the quality of life for all/ especially the poor and the disadvantaged is a national priority.,
C046,Atal Pension Yojana,central,Any,18,40,Any,Any,Any,Any,Any,Any,Any,Atal Pension Yojana (APY) is an old age income security scheme for a  savings account holder  in the age group of 18-40 years/  who is not an income tax-payee. It helps to address longevity risks among  workers in unorganized sector and encourages the workers to voluntarily save for retirement.,
C047,Award Of Scholarships To Young Artists In Different Cultural Fields,central,Any,18,25,Any,Any,Any,Any,Student,Any,Any,The scheme “Award of Scholarships to Young Artists in Different Cultural Fields” was launched by the Ministry of Culture/ Government of India.,
C048,Awarding Teleeducation Scholarships To Afghan Students,central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Secondary,The "Awarding Teleeducation Scholarships To Afghan Students" scheme under e-VidyaBharati Network Project/ launched by the Ministry of External Affairs/ offers 1000 annual scholarships to Afghan students for UGC-approved online UG and PG programs from Indian universities.,
C049,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,central,Any,Any,Any,0,800000,Any,Any,Any,Any,Any,AB PM-JAY is a health insurance scheme for low-income families in rural and urban areas. The scheme aims to provide affordable healthcare facilities to the Poor. It is the largest health assurance scheme in the world which aims at providing a health cover of ₹5/00/000/- per family per year.,
C050,BSR Scheme,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,The Research Fellowship in Sciences for meritorious students BSR scheme of the UGC is open to candidates who are selected for registering for the Ph.D. program of the university through a procedure outlined already in the UGC notification by a regular admission procedure.,
C051,Bank Guarantee Charges Reimbursement Scheme,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Under the Ministry Of Micro/ Small & Medium Enterprises/ Bank Guarantee Charges Reimbursement Scheme is a sub scheme under National Scheduled Caste and Scheduled Tribe Hub (NSSH) scheme.,
C052,Bank Loan Processing Fee Reimbursement Scheme,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,The Bank Loan Processing Fee Reimbursement Scheme comes under the purview of the Ministry Of MSME (MSME) of the Government of India.,
C053,Bima Yojana - Direct Benefit to Artisan,central,Any,18,59,Any,Any,Any,Any,Self-employed,Any,Any,Launched on 15th August 2022/ the scheme "Bima Yojana - Direct Benefit to Artisan (BYDBTA)" is a Social Welfare Scheme by the Ministry of Textiles/ Government of India.,
C054,Biotechnology Career Advancement And Re-orientation (BioCARe) Programme For Women Scientists,central,Any,Any,55,Any,Any,Female,Any,Un-employed,Any,Postgraduate,Biotechnology Career Advancement and Re-orientation (BioCARe) Programme/ a special scheme of the Department of Biotechnology (DBT)/ Ministry of Science & Technology/ the government of India aims to enhance the participation of women scientists in India towards research in Biotechnology.,
C055,Biotechnology Ignition Grant Scheme,central,Any,18,Any,Any,Any,Any,Any,Student,Any,Any,The “Biotechnology Ignition Grant Scheme (BIG)” is a flagship scheme of BIRAC which recognizes and invests in innovative ideas in the biotech sector. BIG scheme supports individual entrepreneurs/ start-ups from ideation to Proof of Concept.,
C056,Buti Foundation Award,central,Any,Any,40,Any,Any,Any,Any,Any,Any,Postgraduate,The Buti Foundation Award/ established in 2007 by the Buti Foundation/ New Delhi/ is a biennial award recognizing innovative and outstanding research in the field of Plasma Science & Technology. The award aims to honor a Scientist/Engineer under the age of 45 years for their significant contribution,
C057,CBSE Merit Scholarship Scheme For Single Girl Child,central,Any,Any,Any,Any,Any,Female,Any,Student,Any,Secondary,A scholarship scheme by the Ministry of Education for meritorious Single Girl Students/ who are the only child of their parents; and have passed the CBSE Class 10th Examination with 60% or more marks and are continuing their further school education of Class 11th and 12th.,
C058,CIFE - Institutional Fellowship,central,Any,Any,27,Any,Any,Any,Any,Student,Any,Graduate,From the year 2010 onwards/ the division is offering Masters and PhD in two disciplines namely Fish Nutrition and Feed Technology and Fish physiology and Biochemistry with an objective of moulding professionals with fundamental and advanced knowledge and expertise.,
C059,Capacity Building For Service Providers - Entrepreneurship Programme,central,Any,18,Any,Any,Any,Any,Any,Self-employed,Any,Secondary,The scheme "Entrepreneurship Programme" is a Suo-Moto Sub-Scheme of the Ministry of Tourism under the Umbrella Scheme of "Capacity Building for Service Providers". In this scheme financial assistance is provided to the institutes (given below) to conduct entrepreneurship development programs.,
C060,Capacity Building For Service Providers - Skill Testing & Certification,central,Any,18,Any,Any,Any,Any,Any,Any,Any,Secondary,The scheme "Skill Testing & Certification" is a Suo-Moto Sub-Category of Programmes under the Umbrella Scheme of "Capacity Building for Service Providers"/ Ministry of Tourism. In this scheme/ financial assistance is provided to conduct Skilling and Re-Skilling Programmes.,
C061,Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,A relief and rehabilitation scheme by the Ministry of Home Affairs provides central assistance to the displaced families from PoK And Chhamb and settled in the state of Jammu & Kashmir. The amount of Central Assistance of Rs. 5/49/692/- per family will be distributed through Direct Benefit Transfer.,
C062,Central Sector Scheme for Rehabilitation of Bonded Labourer,central,Any,Any,Any,Any,Any,Any,Any,Un-employed,Any,Any,The scheme addresses eradicating bonded labour in India. It introduces varying rehabilitation assistance amounts based on beneficiary categories/ such as adults/ children/ women/ and extreme cases/ with provisions for annuity schemes and Direct Benefit Transfer.,
C063,Central Sector Scheme of National Fellowship for Providing Fellowship to Scheduled Caste Students to Pursue M.Phil. & PhD,central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Postgraduate,The scheme provides opportunities to Scheduled Castes students to pursue higher education leading to M.Phil/Ph.D degrees in Sciences/ Humanities and Social Science streams. The objective of the scheme is to provide fellowships in the form of financial assistance to SC students.,
C064,Central Vigilance Commission (CVC) Internship Scheme,central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Graduate,CVC initiated an Internship Scheme in the year 2016. This Scheme seeks to engage Indian Nationals/ who are Graduates (awaiting final year results) /Post Graduate or Research Students enrolled in reputed Universities/Institutions in India or abroad.,
C065,Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,central,Any,Any,Any,0,250000,Any,OBC/SC/ST,Student,Any,Secondary,The objective of the scheme is to provide financial assistance to OBC students studying at the post-matriculation or post-secondary stage to enable them to complete their education. These scholarships shall be available for studies in India only and will be disbursed via Direct Benefit Transfer.,
C066,Centrally Sponsored Scheme of Pre-matric Scholarship to Other Backward Classes (OBC) for Studies in India,central,Any,Any,Any,0,250000,Any,OBC/SC/ST,Student,Any,Any,"Centrally Sponsored Scheme of Pre-matric Scholarship to Other Backward Classes for Studies in India" is a Scholarship Scheme by the Ministry of Social Justice and Empowerment. The objective is to award scholarships to school-going children of poorer OBC parents.,
C067,Centrally-Sponsored Scheme Of Pre-Matric Scholarship For Scheduled Caste Students Studying In Classes 9th & 10th,central,Any,Any,Any,0,250000,Any,OBC/SC/ST,Student,Any,Any,A scholarship scheme by Ministry of Social Justice & Empowerment for regular/ full-time students from Scheduled Castes studying in Class 9th and 10th in a Govt. School / a School recognized by Govt. / CBSE / State Board of Secondary Education.,
C068,Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Graduate,Coaching schemes for students belonging to SC (Scheduled Caste)/ ST (Scheduled Tribe)/ OBC (Other Backward Classes) (non-creamy layer)/ and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education.,
C069,Coconut Palm Insurance Scheme,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The “Coconut Palm Insurance Scheme (CPIS)” is being implemented by the Coconut Development Board/ Ministry Of Agriculture/ Government of India with the objective of insuring coconut palms against natural calamities/ climatic risks/ pests/ diseases/ and other perils.,
C070,Coffee Development Programme in North Eastern Region: Consolidation of Coffee,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The scheme "Consolidation of Coffee" aims to increase the productivity of the existing coffee holdings by gap filling or rejuvenation/ followed by improved cultivation methods such as application of compost/ bush management/ shade management/ pest and disease control/ etc.,
C071,Coffee Development Programme in North Eastern Region: Expansion of Coffee,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The scheme "Coffee Development Programme in North Eastern Region: Expansion of Coffee" by the Coffee Board/ Department of Commerce/ Ministry of Commerce and Industry/ aims to facilitate afforestation in the Jhum lands and help settle the tribals on a permanent footing.,
C072,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Drying Yards,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The scheme "Quality Upgradation / Certification: Drying Yards" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees/ enabling them to earn better returns.,
C073,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The scheme "Supply of Baby Pulpers" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees/ enabling them to earn better returns.,
C074,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees. It also encourages small growers to form groups/collectives to take up eco-certification.,
C075,Coffee Development Programme in North Eastern Region: Support for Group Nurseries,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The scheme "Coffee Development Programme in North Eastern Region: Support for Group Nurseries" by the Coffee Board/ Department of Commerce/ Ministry of Commerce and Industry/ aims to provide growers with high-quality coffee seedlings to ensure the proper establishment of plantations.,
C076,Coffee Development Programme in North Eastern Region: Water Augmentation,central,Any,Any,Any,Any,Any,Any,Any,Farmer,Any,Any,The scheme "Coffee Development Programme in North Eastern Region: Water Augmentation" aims to improve the productivity and quality of coffee by facilitating the creation of infrastructure for water augmentation for irrigation and wet processing of coffee.,
C077,Coir Udyami Yojana,central,Any,18,Any,Any,Any,Any,Any,Self-employed,Any,Any,The scheme "Coir Udyami Yojana" by the Coir Board/ Ministry of MSME/ Government of India/ aims to modernize the coir industry and generate rural employment. It offers credit-linked financial assistance to establish coir units by eligible applicants.,
C078,Coir Vikas Yojana- Coir Industry Technology Upgradation Scheme,central,Any,Any,Any,Any,Any,Any,Any,Self-employed,Any,Any,The scheme “Coir Industry Technology Upgradation Scheme (CITUS)” is a component of “Coir Vikas Yojana” and the scheme was launched by Ministry of Micro/ Small & Medium Enterprises/ Government of India.,
C079,Coir Vikas Yojana- Export Market Promotion Scheme,central,Any,Any,Any,Any,Any,Any,Any,Self-employed,Any,Any,Coir Board is implementing the Central Sector Scheme “Export Market Promotion Scheme” with a view to improve the export performance of Indian Coir Sector through various export market promotion activities.,
C080,Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,central,Any,18,Any,Any,Any,Female,Any,Self-employed,Any,Any,The scheme “Skill Upgradation and Mahila Coir Yojana” is a component of “Coir Vikas Yojana” and the scheme was launched by the Ministry of Micro/ Small & Medium Enterprises/ Government of India.,
C081,Collaborative Research Scheme (CRS),central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Postgraduate,Collaborative Research Scheme (CRS) has been introduced by the All India Council for Technical Education to support innovation & research across institutes with collaboration among TEQIP Faculty/ Regular faculty of Project institutions (focus and non-focus) & Premier institutions of the country.,
C082,Comprehensive Handicrafts Cluster Development Programme,central,Any,Any,Any,Any,Any,Any,Any,Self-employed,Any,Any,The Comprehensive Handicrafts Cluster Development Scheme was launched to create a world-class infrastructure that will cater to the business needs of local artisans & SMEs in order to boost production and export.,
C083,Construction of Hostels for OBC Boys and Girls,central,Any,Any,Any,Any,Any,Any,OBC,Student,Any,Any,The Scheme aims at providing hostel facilities to students belonging to socially and educationally backward classes/ especially from rural areas/ to enable them to pursue secondary and higher education.,
C084,Credit Based Schemes For SC - Term Loan (TL),central,Any,18,Any,0,300000,Any,Any,Self-employed,Any,Any,A loan scheme by Ministry of Social justice and Empowerment for Entrepreneur of Scheduled Caste Category.,
C085,Credit Enhancement Guarantee Scheme For The Scheduled Castes,central,Any,18,Any,Any,Any,Any,Any,Self-employed,Any,Any,a loan scheme by the Ministry of Social justice and Empowerment for Entrepreneurs of Scheduled Caste Category.,
C086,Credit Linked Subsidy Scheme for Middle Income Group,central,Any,Any,Any,600001,1800000,Any,Any,Any,Any,Any,Under Credit Linked Subsidy Scheme/ beneficiaries of Middle-Income Group (MIG) can seek housing loans from Banks/ Housing Finance Companies and other such institutions for acquisition/ construction of house (including re-purchase).,
C087,Cultural Function And Production Grant Scheme,central,Any,21,Any,Any,Any,Any,Any,Any,Any,Any,The scheme “Cultural Function and Production Grant Scheme” was launched by the Ministry of Culture/ Government of India.,
C088,DPIIT Internship Scheme,central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Graduate,DPIIT has introduced an internship scheme for students pursuing Under Graduate/Post Graduate degrees or Research Scholars enrolled in recognized universities/Institutions within India or abroad. The applicants can choose the  period of their choice ranging from one/two/three months.,
C089,Deen Dayal Disabled Rehabilitation Scheme,central,Any,Any,Any,Any,Any,Any,Any,Any,Yes,Any,The umbrella Central Sector Scheme of this Ministry called the "Scheme to Promote Voluntary Action for Persons with Disabilities" was revised w.e.f. 01.04.2003 and was renamed as the "Deendayal Disabled Rehabilitation Scheme (DDRS)",
C090,Deen Dayal SPARSH Yojana (Scholarship For Promotion Of Aptitude & Research In Stamps As A Hobby),central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Secondary,"Deen Dayal SPARSH Yojana" awards annual scholarships to students who have good academic records and are also pursuing 'Philately' as a hobby. The objective is to “Promote Philately among children at a young age in a sustainable manner that can reinforce and supplement the academic curriculum.,
C091,Deen Dayal Upadhyay Grameen Kaushalya Yojana,central,Any,15,35,Any,Any,Any,Any,Un-employed,Any,Any,DDU-GKY focuses on the rural poor youth and its emphasis on sustainable employment through the prominence and incentives given to post-placement tracking/ retention/ and career progression. DDU-GKY is designed to provide high-quality skill training opportunities to the rural poor.,
